pattern,entry_time,entry_price,stop_loss,target,exit_time,exit_price,pnl,pnl_percent,result,risk_reward
long_king,2025-02-25 13:20:00+11:00,2950.0197405,2942.3347200000003,2949.89,2025-02-25 13:25:00+11:00,2949.89,-0.12974050000002535,-0.0043979536210844335,win,0.016882258154032503
short_king,2025-02-27 00:05:00+11:00,2913.3407355000004,2918.4755599999994,2913.205,2025-02-27 00:10:00+11:00,2913.205,0.13573550000046453,0.004659101434531275,win,0.026434301698235376
long_king,2025-03-03 16:05:00+11:00,2866.1545885,2860.3318050000003,2872.065,2025-03-03 18:45:00+11:00,2860.3318050000003,-5.822783499999787,-0.20315664491241336,loss,1.0150491599078388
long_king,2025-03-04 17:10:00+11:00,2888.7963790000003,2883.848265,2892.995,2025-03-04 18:15:00+11:00,2892.995,4.198620999999548,0.1453415349908796,win,0.8485295609598582
long_king,2025-03-05 23:40:00+11:00,2915.6219242499997,2909.142945,2922.675,2025-03-06 00:30:00+11:00,2909.142945,-6.478979249999611,-0.2222160286322525,loss,1.0886090968729278
long_king,2025-03-14 13:00:00+11:00,2986.2105945,2978.7332850000003,2987.28,2025-03-14 13:05:00+11:00,2987.28,1.0694055000003573,0.0358114562305146,win,0.1430200929893855
long_king,2025-03-14 18:00:00+11:00,2985.3053229999996,2978.303715,2988.47,2025-03-14 19:05:00+11:00,2988.47,3.1646770000002107,0.10600848682438808,win,0.4519928850630314
long_king,2025-03-19 02:30:00+11:00,3031.5241844999996,3022.2397349999997,3036.715,2025-03-19 03:30:00+11:00,3036.715,5.190815500000554,0.17122790992533987,win,0.5590870519572096
short_king,2025-03-21 01:40:00+11:00,3037.9858307500003,3045.42238,3029.38,2025-03-21 05:25:00+11:00,3045.42238,-7.4365492499996435,-0.24478551462380427,loss,1.157234418907484
short_king,2025-03-21 22:05:00+11:00,3030.7005169999998,3036.6035699999998,3028.565,2025-03-21 22:45:00+11:00,3036.6035699999998,-5.903053,-0.19477520021817454,loss,0.36176483592468317
short_king,2025-03-24 19:05:00+11:00,3024.9272495,3031.90888,3015.695,2025-03-24 21:25:00+11:00,3031.90888,-6.9816304999999375,-0.23080325324035325,loss,1.3223629494571412
short_king,2025-03-25 11:10:00+11:00,3010.8364779999997,3015.4824699999995,3005.07,2025-03-25 14:30:00+11:00,3015.4824699999995,-4.645991999999751,-0.15430901126473437,loss,1.2411726064099682
short_king,2025-03-27 07:30:00+11:00,3019.08650225,3023.9909699999994,3015.105,2025-03-27 11:00:00+11:00,3023.9909699999994,-4.904467749999185,-0.16244873230177698,loss,0.8118112816626917
short_king,2025-03-27 07:30:00+11:00,3019.08650225,3023.9909699999994,3014.965,2025-03-27 11:00:00+11:00,3023.9909699999994,-4.904467749999185,-0.16244873230177698,loss,0.8403566829450012
long_king,2025-03-27 18:10:00+11:00,3031.639219,3023.738235,3035.97,2025-03-27 18:50:00+11:00,3035.97,4.330780999999661,0.14285278316950223,win,0.5481318529438203
long_king,2025-03-27 18:10:00+11:00,3031.639219,3023.738235,3035.97,2025-03-27 18:50:00+11:00,3035.97,4.330780999999661,0.14285278316950223,win,0.5481318529438203
long_king,2025-03-28 11:00:00+11:00,3055.97901875,3051.180765,3057.165,2025-03-28 11:05:00+11:00,3057.165,1.185981250000168,0.03880855342014995,win,0.24716934780705058
long_king,2025-03-28 23:20:00+11:00,3073.1766765,3064.3026299999997,3082.875,2025-03-29 00:50:00+11:00,3082.875,9.698323499999788,0.31557975739439353,win,1.0928862610759598
long_king,2025-03-28 23:20:00+11:00,3073.1766765,3064.3026299999997,3082.875,2025-03-29 00:50:00+11:00,3082.875,9.698323499999788,0.31557975739439353,win,1.0928862610759598
long_king,2025-04-01 00:10:00+11:00,3117.6850249999998,3110.3715150000003,3125.385,2025-04-01 00:30:00+11:00,3110.3715150000003,-7.313509999999496,-0.23458142632607654,loss,1.0528426159260027
long_king,2025-04-01 00:10:00+11:00,3117.6850249999998,3110.3715150000003,3127.295,2025-04-01 00:30:00+11:00,3110.3715150000003,-7.313509999999496,-0.23458142632607654,loss,1.3140031257222546
long_king,2025-04-01 00:10:00+11:00,3117.6850249999998,3110.3715150000003,3123.795,2025-04-01 00:30:00+11:00,3110.3715150000003,-7.313509999999496,-0.23458142632607654,loss,0.8354367465144267
short_king,2025-04-07 16:55:00+10:00,3030.21316325,3041.74871,2977.285,2025-04-07 21:05:00+10:00,3041.74871,-11.535546749999867,-0.38068433237309374,loss,4.588266546620405
short_king,2025-04-07 16:55:00+10:00,3030.21316325,3041.74871,2970.215,2025-04-07 21:05:00+10:00,3041.74871,-11.535546749999867,-0.38068433237309374,loss,5.201154704695773
